model,test_accuracy
-1--1--1--1--1--1--1--1,0.7846999764442444
0--1--1--1--1--1--1--1,0.7846999764442444
-1-3-3-3-3-3-3-3,0.7742999792098999
0-3-3-3-3-3-3-3,0.7742999792098999
-1-8-8-8-8-8-8-8,0.6904999613761902
0-8-8-8-8-8-8-8,0.6904999613761902
3--1--1--1--1--1--1--1,0.7845999598503113
3-3-3-3-3-3-3-3,0.7749999761581421
3-8-8-8-8-8-8-8,0.6898999810218811
6--1--1--1--1--1--1--1,0.7831999659538269
6-3-3-3-3-3-3-3,0.7742999792098999
6-8-8-8-8-8-8-8,0.6894999742507935
8--1--1--1--1--1--1--1,0.7813000082969666
8-3-3-3-3-3-3-3,0.7728999853134155
8-8-8-8-8-8-8-8,0.6843999624252319
-1-0--1--1--1--1--1--1,0.7846999764442444
3--1-3-3-3-3-3-3,0.7749999761581421
3-0-3-3-3-3-3-3,0.7749999761581421
8--1-8-8-8-8-8-8,0.6958999633789062
8-0-8-8-8-8-8-8,0.6958999633789062
-1-3--1--1--1--1--1--1,0.7849000096321106
8-3-8-8-8-8-8-8,0.6952999830245972
-1-6--1--1--1--1--1--1,0.7834999561309814
3-6-3-3-3-3-3-3,0.7731999754905701
8-6-8-8-8-8-8-8,0.6924999952316284
-1-8--1--1--1--1--1--1,0.7813999652862549
3-8-3-3-3-3-3-3,0.7721999883651733
-1--1-0--1--1--1--1--1,0.7846999764442444
3-3--1-3-3-3-3-3,0.7759000062942505
3-3-0-3-3-3-3-3,0.7759000062942505
8-8--1-8-8-8-8-8,0.7006999850273132
8-8-0-8-8-8-8-8,0.7006999850273132
-1--1-3--1--1--1--1--1,0.7840999960899353
8-8-3-8-8-8-8-8,0.7001999616622925
-1--1-6--1--1--1--1--1,0.7838000059127808
3-3-6-3-3-3-3-3,0.7754999995231628
8-8-6-8-8-8-8-8,0.6953999996185303
-1--1-8--1--1--1--1--1,0.7802000045776367
3-3-8-3-3-3-3-3,0.7718999981880188
-1--1--1-0--1--1--1--1,0.7846999764442444
3-3-3--1-3-3-3-3,0.7762999534606934
3-3-3-0-3-3-3-3,0.7762999534606934
8-8-8--1-8-8-8-8,0.70660001039505
8-8-8-0-8-8-8-8,0.70660001039505
-1--1--1-3--1--1--1--1,0.7828999757766724
8-8-8-3-8-8-8-8,0.7031999826431274
-1--1--1-6--1--1--1--1,0.7809000015258789
3-3-3-6-3-3-3-3,0.7734999656677246
8-8-8-6-8-8-8-8,0.6969000101089478
-1--1--1-8--1--1--1--1,0.7791999578475952
3-3-3-8-3-3-3-3,0.7689999938011169
-1--1--1--1-0--1--1--1,0.7846999764442444
3-3-3-3--1-3-3-3,0.7773999571800232
3-3-3-3-0-3-3-3,0.7773999571800232
8-8-8-8--1-8-8-8,0.7119999527931213
8-8-8-8-0-8-8-8,0.7119999527931213
-1--1--1--1-3--1--1--1,0.7813999652862549
8-8-8-8-3-8-8-8,0.7084999680519104
-1--1--1--1-6--1--1--1,0.7815999984741211
3-3-3-3-6-3-3-3,0.7752000093460083
8-8-8-8-6-8-8-8,0.6987000107765198
-1--1--1--1-8--1--1--1,0.7738999724388123
3-3-3-3-8-3-3-3,0.767799973487854
-1--1--1--1--1-0--1--1,0.7846999764442444
3-3-3-3-3--1-3-3,0.776699960231781
3-3-3-3-3-0-3-3,0.776699960231781
8-8-8-8-8--1-8-8,0.7026999592781067
8-8-8-8-8-0-8-8,0.7026999592781067
-1--1--1--1--1-3--1--1,0.7835999727249146
8-8-8-8-8-3-8-8,0.70169997215271
-1--1--1--1--1-6--1--1,0.781499981880188
3-3-3-3-3-6-3-3,0.7731999754905701
8-8-8-8-8-6-8-8,0.6938999891281128
-1--1--1--1--1-8--1--1,0.7773999571800232
3-3-3-3-3-8-3-3,0.7669999599456787
-1--1--1--1--1--1-0--1,0.7846999764442444
3-3-3-3-3-3--1-3,0.7787999510765076
3-3-3-3-3-3-0-3,0.7787999510765076
8-8-8-8-8-8--1-8,0.7130999565124512
8-8-8-8-8-8-0-8,0.7130999565124512
-1--1--1--1--1--1-3--1,0.7802000045776367
8-8-8-8-8-8-3-8,0.7081999778747559
-1--1--1--1--1--1-6--1,0.7780999541282654
3-3-3-3-3-3-6-3,0.7734000086784363
8-8-8-8-8-8-6-8,0.6983999609947205
-1--1--1--1--1--1-8--1,0.7723000049591064
3-3-3-3-3-3-8-3,0.767799973487854
-1--1--1--1--1--1--1-0,0.7846999764442444
3-3-3-3-3-3-3--1,0.7782999873161316
3-3-3-3-3-3-3-0,0.7782999873161316
8-8-8-8-8-8-8--1,0.7057999968528748
8-8-8-8-8-8-8-0,0.7057999968528748
-1--1--1--1--1--1--1-3,0.7805999517440796
8-8-8-8-8-8-8-3,0.7015999555587769
-1--1--1--1--1--1--1-6,0.7781999707221985
3-3-3-3-3-3-3-6,0.7712000012397766
8-8-8-8-8-8-8-6,0.6951000094413757
-1--1--1--1--1--1--1-8,0.7723000049591064
3-3-3-3-3-3-3-8,0.7664999961853027
